weekday,year,numberkilled
Monday,1966,15
Saturday,1966,5
Monday,1967,6
Saturday,1968,7
Saturday,1969,4
Wednesday,1970,4
Monday,1972,4
Wednesday,1972,6
Sunday,1973,7
Sunday,1975,5
Monday,1976,7
Monday,1977,5
Saturday,1977,6
Friday,1977,6
Saturday,1978,4
Sunday,1980,5
Sunday,1980,5
Monday,1980,4
Thursday,1981,4
Friday,1981,5
Monday,1982,4
Monday,1982,6
Friday,1982,8
Thursday,1983,4
Tuesday,1983,6
Tuesday,1983,6
Thursday,1984,8
Friday,1984,6
Wednesday,1984,21
Tuesday,1984,5
Saturday,1985,4
Wednesday,1986,14
Thursday,1987,6
Tuesday,1988,7
Sunday,1988,4
Thursday,1988,4
Tuesday,1989,5
Thursday,1989,9
Monday,1990,11
Thursday,1991,4
Wednesday,1991,23
Friday,1991,5
Saturday,1991,4
Thursday,1991,4
Sunday,1992,4
Friday,1992,4
Thursday,1992,4
Sunday,1992,6
Thursday,1993,8
Friday,1993,4
Thursday,1993,4
Thursday,1993,4
Tuesday,1993,6
Tuesday,1993,4
Monday,1994,4
Saturday,1994,5
Monday,1995,5
Wednesday,1995,4
Tuesday,1995,5
Friday,1996,5
Wednesday,1996,5
Tuesday,1997,4
Monday,1997,4
Wednesday,1997,4
Thursday,1997,4
Friday,1998,4
Tuesday,1998,5
Tuesday,1998,5
Wednesday,1998,4
Wednesday,1999,4
Tuesday,1999,13
Tuesday,1999,13
Thursday,1999,4
Thursday,1999,12
Wednesday,1999,7
Tuesday,1999,7
Thursday,1999,5
Monday,2000,5
Friday,2000,5
Tuesday,2000,7
Tuesday,2001,4
Monday,2001,4
Tuesday,2001,4
Saturday,2001,5
Friday,2002,4
Tuesday,2003,4
Tuesday,2003,6
Wednesday,2003,6
Tuesday,2003,4
Friday,2004,5
Sunday,2004,6
Wednesday,2004,4
Friday,2005,4
Saturday,2005,7
Monday,2005,9
Sunday,2005,4
Monday,2006,7
Saturday,2006,6
Sunday,2006,5
Monday,2006,5
Monday,2007,5
Monday,2007,32
Wednesday,2007,8
Sunday,2007,4
Thursday,2008,6
Thursday,2008,5
Tuesday,2008,4
Wednesday,2008,5
Tuesday,2008,6
Sunday,2009,8
Friday,2009,13
Sunday,2009,4
Thursday,2009,13
Sunday,2009,4
Saturday,2010,4
Sunday,2010,4
Tuesday,2010,8
Saturday,2010,4
Saturday,2010,5
Saturday,2011,6
Sunday,2011,7
Tuesday,2011,4
Wednesday,2011,8
Monday,2012,7
Wednesday,2012,5
Friday,2012,12
Sunday,2012,6
Thursday,2012,6
Friday,2012,27
Wednesday,2013,4
Sunday,2013,4
Friday,2013,5
Friday,2013,6
Monday,2013,12
Thursday,2014,4
Friday,2014,6
Friday,2014,4
Wednesday,2015,9
Thursday,2015,5
Thursday,2015,9
Saturday,2015,6
Wednesday,2015,14
Wednesday,2015,14
Saturday,2016,6
Wednesday,2016,5
Sunday,2016,49
Thursday,2016,5
Friday,2016,5
Friday,2017,5
Monday,2017,4
Wednesday,2017,4
Monday,2017,5
Sunday,2017,60
Sunday,2017,25
Tuesday,2017,5
Sunday,2018,4
Wednesday,2018,17
Monday,2018,4
Sunday,2018,4
Friday,2018,10
Thursday,2018,5
Wednesday,2018,5
Saturday,2018,11
Wednesday,2018,12
Wednesday,2019,5
Friday,2019,5
Friday,2019,12
Saturday,2019,23
Sunday,2019,9
Saturday,2019,7
Tuesday,2019,4
Tuesday,2019,4
Wednesday,2020,5
Sunday,2020,4
Saturday,2021,5
Tuesday,2021,8
Monday,2021,10
Wednesday,2021,4
Thursday,2021,8
Wednesday,2021,9
Tuesday,2021,4
Monday,2021,5
Saturday,2022,10
Tuesday,2022,21
Wednesday,2022,4
Monday,2022,7
Thursday,2022,5
Saturday/Sunday,2022,5
Tuesday,2022,6